,start_time,start_lat,start_lon,end_time,end_lat,end_lon,duration,route_type
79,2017-07-17 0:19:00,40.75058,-73.99358,2017-07-17 0:30:00,40.74584,-73.90297,660,rail
80,2017-07-17 0:19:00,40.6996,-73.80853,2017-07-17 0:28:00,40.74584,-73.90297,540,rail
81,2017-07-17 0:19:00,40.72145,-73.62967,2017-07-17 0:22:00,40.72309,-73.64036,180,rail
82,2017-07-17 0:19:00,40.66879,-73.52886,2017-07-17 0:22:00,40.66379,-73.55062,180,rail
83,2017-07-17 0:20:00,40.70964,-73.83089,2017-07-17 0:24:00,40.6996,-73.80853,240,rail
84,2017-07-17 0:20:00,40.77504,-73.74065,2017-07-17 0:23:00,40.78721,-73.7261,180,rail
85,2017-07-17 0:20:00,40.67838,-73.94822,2017-07-17 0:25:00,40.6758,-73.90281,300,rail
86,2017-07-17 0:20:00,40.65831,-73.64655,2017-07-17 0:23:00,40.65672,-73.60716,180,rail
87,2017-07-17 0:20:00,40.77504,-73.74065,2017-07-17 0:23:00,40.78721,-73.7261,180,rail
88,2017-07-17 0:21:00,40.76948,-73.29356,2017-07-17 0:26:00,40.78083,-73.24361,300,rail
89,2017-07-17 0:21:00,40.68826,-73.36921,2017-07-17 0:26:00,40.70068,-73.32405,300,rail
90,2017-07-17 0:21:00,40.7492,-73.60365,2017-07-17 0:23:00,40.75345,-73.58586,120,rail
91,2017-07-17 0:21:00,40.83563,-73.45108,2017-07-17 0:27:00,40.82485,-73.50044,360,rail
92,2017-07-17 0:21:00,40.85797,-73.62122,2017-07-17 0:24:00,40.86583,-73.61616,180,rail
93,2017-07-17 0:22:00,40.72309,-73.64036,2017-07-17 0:24:00,40.72295,-73.6627,120,rail
94,2017-07-17 0:22:00,40.66379,-73.55062,2017-07-17 0:25:00,40.65745,-73.58232,180,rail
95,2017-07-17 0:23:00,40.78721,-73.7261,2017-07-17 0:26:00,40.79672,-73.6999,180,rail
96,2017-07-17 0:23:00,40.75345,-73.58586,2017-07-17 0:28:00,40.76717,-73.52853,300,rail
97,2017-07-17 0:23:00,40.65672,-73.60716,2017-07-17 0:26:00,40.65745,-73.58232,180,rail
98,2017-07-17 0:23:00,40.67513,-73.76504,2017-07-17 0:25:00,40.66847,-73.75175,120,rail
99,2017-07-17 0:23:00,40.78721,-73.7261,2017-07-17 0:26:00,40.79672,-73.6999,180,rail
100,2017-07-17 0:24:00,40.71017,-73.76675,2017-07-17 0:27:00,40.71745,-73.73646,180,rail
101,2017-07-17 0:24:00,40.92031,-73.12855,2017-07-17 0:35:00,40.93454,-73.0525,660,rail
102,2017-07-17 0:24:00,40.6758,-73.90281,2017-07-17 0:29:00,40.67838,-73.94822,300,rail
103,2017-07-17 0:24:00,40.72295,-73.6627,2017-07-17 0:27:00,40.72302,-73.68102,180,rail
104,2017-07-17 0:24:00,40.86583,-73.61616,2017-07-17 0:28:00,40.87446,-73.5983,240,rail
105,2017-07-17 0:25:00,40.65745,-73.58232,2017-07-17 0:28:00,40.65672,-73.60716,180,rail
106,2017-07-17 0:25:00,40.74584,-73.90297,2017-07-17 0:35:00,40.75058,-73.99358,600,rail
107,2017-07-17 0:25:00,40.6758,-73.90281,2017-07-17 0:34:00,40.6996,-73.80853,540,rail
108,2017-07-17 0:25:00,40.79898,-72.86442,2017-07-17 0:32:00,40.77373,-72.94396,420,rail
109,2017-07-17 0:25:00,40.66847,-73.75175,2017-07-17 0:28:00,40.66594,-73.73555,180,rail
110,2017-07-17 0:26:00,40.79672,-73.6999,2017-07-17 0:28:00,40.81069,-73.69521,120,rail
111,2017-07-17 0:26:00,40.79672,-73.6999,2017-07-17 0:28:00,40.81069,-73.69521,120,rail
112,2017-07-17 0:26:00,40.65745,-73.58232,2017-07-17 0:29:00,40.66379,-73.55062,180,rail
113,2017-07-17 0:26:00,40.6996,-73.80853,2017-07-17 0:41:00,40.65831,-73.64655,900,rail
114,2017-07-17 0:26:00,40.78083,-73.24361,2017-07-17 0:30:00,40.79184,-73.19486,240,rail
115,2017-07-17 0:27:00,40.72302,-73.68102,2017-07-17 0:30:00,40.72463,-73.7064,180,rail
116,2017-07-17 0:27:00,40.82485,-73.50044,2017-07-17 0:34:00,40.76717,-73.52853,420,rail
117,2017-07-17 0:27:00,40.71745,-73.73646,2017-07-17 0:30:00,40.7222,-73.71665,180,rail
118,2017-07-17 0:28:00,40.76717,-73.52853,2017-07-17 0:36:00,40.82485,-73.50044,480,rail
119,2017-07-17 0:28:00,40.87446,-73.5983,2017-07-17 0:39:00,40.87533,-73.53403,660,rail
120,2017-07-17 0:28:00,40.66594,-73.73555,2017-07-17 0:32:00,40.66151,-73.70476,240,rail
121,2017-07-17 0:28:00,40.59017,-73.66482,2017-07-17 0:34:00,40.60129,-73.65474,360,rail
122,2017-07-17 0:28:00,40.81069,-73.69521,2017-07-17 0:34:00,40.82903,-73.6874,360,rail
123,2017-07-17 0:28:00,40.81069,-73.69521,2017-07-17 0:34:00,40.82903,-73.6874,360,rail
124,2017-07-17 0:28:00,40.74584,-73.90297,2017-07-17 0:38:00,40.75058,-73.99358,600,rail
125,2017-07-17 0:28:00,40.65672,-73.60716,2017-07-17 0:31:00,40.65831,-73.64655,180,rail
126,2017-07-17 0:29:00,40.67838,-73.94822,2017-07-17 0:35:00,40.684901,-73.97768,360,rail
127,2017-07-17 0:29:00,40.66379,-73.55062,2017-07-17 0:32:00,40.66879,-73.52886,180,rail
128,2017-07-17 0:30:00,40.79184,-73.19486,2017-07-17 0:37:00,40.80808,-73.10594,420,rail
129,2017-07-17 0:30:00,40.7222,-73.71665,2017-07-17 0:33:00,40.72463,-73.7064,180,rail
130,2017-07-17 0:30:00,40.74584,-73.90297,2017-07-17 0:38:00,40.75789,-73.83135,480,rail
131,2017-07-17 0:30:00,40.72463,-73.7064,2017-07-17 0:32:00,40.7222,-73.71665,120,rail
132,2017-07-17 0:31:00,40.65831,-73.64655,2017-07-17 0:47:00,40.6996,-73.80853,960,rail
133,2017-07-17 0:32:00,40.66151,-73.70476,2017-07-17 0:35:00,40.65605,-73.67607,180,rail
134,2017-07-17 0:32:00,40.70068,-73.32405,2017-07-17 0:38:00,40.72443,-73.25408,360,rail
135,2017-07-17 0:32:00,40.77373,-72.94396,2017-07-17 0:39:00,40.76187,-73.01574,420,rail
136,2017-07-17 0:32:00,40.66879,-73.52886,2017-07-17 0:35:00,40.67298,-73.50896,180,rail
137,2017-07-17 0:32:00,40.7222,-73.71665,2017-07-17 0:36:00,40.71745,-73.73646,240,rail
138,2017-07-17 0:33:00,40.72463,-73.7064,2017-07-17 0:36:00,40.72302,-73.68102,180,rail
139,2017-07-17 0:34:00,40.60129,-73.65474,2017-07-17 0:38:00,40.63471,-73.65466,240,rail
140,2017-07-17 0:34:00,40.76717,-73.52853,2017-07-17 0:39:00,40.75345,-73.58586,300,rail
141,2017-07-17 0:35:00,40.67298,-73.50896,2017-07-17 0:38:00,40.67572,-73.48657,180,rail
142,2017-07-17 0:35:00,40.853,-73.40952,2017-07-17 0:40:00,40.83563,-73.45108,300,rail
143,2017-07-17 0:35:00,40.65605,-73.67607,2017-07-17 0:37:00,40.64831,-73.66397,120,rail
144,2017-07-17 0:36:00,40.82485,-73.50044,2017-07-17 0:41:00,40.83563,-73.45108,300,rail
145,2017-07-17 0:36:00,40.6996,-73.80853,2017-07-17 0:41:00,40.67513,-73.76504,300,rail
146,2017-07-17 0:36:00,40.72302,-73.68102,2017-07-17 0:39:00,40.72295,-73.6627,180,rail
147,2017-07-17 0:36:00,40.71745,-73.73646,2017-07-17 0:39:00,40.71017,-73.76675,180,rail
148,2017-07-17 0:36:00,40.6996,-73.80853,2017-07-17 0:50:00,40.74034,-73.64086,840,rail
149,2017-07-17 0:37:00,40.64831,-73.66397,2017-07-17 0:39:00,40.6422,-73.65821,120,rail
150,2017-07-17 0:38:00,40.67572,-73.48657,2017-07-17 0:40:00,40.67692,-73.46905,120,rail
151,2017-07-17 0:38:00,40.63471,-73.65466,2017-07-17 0:40:00,40.6422,-73.65821,120,rail
152,2017-07-17 0:38:00,40.72443,-73.25408,2017-07-17 0:43:00,40.73583,-73.20932,300,rail
153,2017-07-17 0:38:00,40.75789,-73.83135,2017-07-17 0:40:00,40.7627,-73.81454,120,rail
154,2017-07-17 0:39:00,40.72295,-73.6627,2017-07-17 0:42:00,40.72309,-73.64036,180,rail
155,2017-07-17 0:39:00,40.76187,-73.01574,2017-07-17 0:46:00,40.74035,-73.08645,420,rail
156,2017-07-17 0:39:00,40.71017,-73.76675,2017-07-17 0:46:00,40.6996,-73.80853,420,rail
157,2017-07-17 0:39:00,40.82903,-73.6874,2017-07-17 0:44:00,40.81069,-73.69521,300,rail
158,2017-07-17 0:39:00,40.75058,-73.99358,2017-07-17 0:51:00,40.74584,-73.90297,720,rail
159,2017-07-17 0:39:00,40.6422,-73.65821,2017-07-17 0:41:00,40.63471,-73.65466,120,rail
